id,issue_key,date,error,suggestion
47,KAN-35,2026-05-11,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
48,KAN-33,2026-05-11,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
49,KAN-31,2026-05-11,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
50,KAN-31,2026-05-11,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
51,KAN-32,2026-05-12,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
52,KAN-37,2026-05-12,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
53,KAN-33,2026-05-12,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
54,KAN-33,2026-05-12,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
55,KAN-30,2026-05-12,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
56,KAN-30,2026-05-12,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
57,KAN-31,2026-05-12,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
58,KAN-31,2026-05-12,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
59,KAN-34,2026-05-13,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
60,KAN-37,2026-05-13,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
61,KAN-38,2026-05-13,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
62,KAN-30,2026-05-13,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
63,KAN-30,2026-05-13,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
64,KAN-31,2026-05-13,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
65,KAN-31,2026-05-13,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
66,KAN-31,2026-05-13,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
67,KAN-31,2026-05-13,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
68,KAN-31,2026-05-14,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
69,KAN-32,2026-05-14,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
70,KAN-37,2026-05-14,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
71,KAN-30,2026-05-14,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
72,KAN-30,2026-05-14,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
73,KAN-35,2026-05-14,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
74,KAN-31,2026-05-14,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
75,KAN-31,2026-05-15,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
76,KAN-31,2026-05-15,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
77,KAN-37,2026-05-15,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
78,KAN-30,2026-05-15,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
79,KAN-30,2026-05-15,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
80,KAN-31,2026-05-18,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
81,KAN-31,2026-05-18,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
82,KAN-30,2026-05-18,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
83,KAN-30,2026-05-18,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
84,KAN-36,2026-05-18,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
85,KAN-30,2026-05-19,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
86,KAN-30,2026-05-19,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
87,KAN-31,2026-05-19,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
88,KAN-31,2026-05-19,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
89,KAN-36,2026-05-19,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
90,KAN-39,2026-01-13,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
91,KAN-39,2026-01-14,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
92,KAN-40,2026-02-18,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
93,KAN-40,2026-02-19,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
94,KAN-40,2026-02-19,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
95,KAN-40,2026-02-25,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
96,KAN-40,2026-02-26,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
97,KAN-40,2026-02-27,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
98,KAN-40,2026-03-03,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
99,KAN-41,2026-03-23,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
100,KAN-42,2026-03-25,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
